art_name,art_country
Roger,Australia
Mark Ronson,Australia
The Messengers,Australia
YP,Australia
Jubël,Australia
NEIMY,Australia
Nea,Australia
Felix Jaehn,Australia
ROSALÍA,Australia
Adam Levine,Australia
Nuka,Australia
Stace Cadet,Australia
KLP,Australia
Mashd N Kutcher,Australia
Dan Andrews,Australia
Kygo,Australia
Tory Lanez,Australia
Skepta,Australia
Disney,Australia
Big Sean,Australia
The Neptunes,Australia
Lil Uzi Vert,Australia
Big Red Machine,Australia
R3HAB,Australia
Rihanna,Australia
Joyner Lucas,Australia
Baby Keem,Australia
G-Eazy,Australia
Mark Morrison,Australia
B. Swanson Quartet,Australia
John Lennon,Australia
Yoko Ono,Australia
SUGA,Australia
The Puppini Sisters,Australia
Idina Menzel,Australia
Justin Timberlake,Australia
Skylar Grey,Australia
Mozzy,Australia
ScHoolboy Q,Australia
Pusha T,Australia
42 Dugg,Australia
The-Dream,Australia
Rah Swish,Australia
JAY1,Australia
Deno,Australia
Bas,Australia
CG,Australia
Nicki Minaj,Australia
TroyBoi,Australia
Kay Flock,Australia
Yebba,Australia
Skrillex,Australia
CORPSE,Australia
Night Lovell,Australia
Belly,Australia
G Herbo,Australia
Fana Hues,Australia
DJ Drama,Australia
Teezo Touchdown,Australia
Domo Genesis,Australia
DAISY WORLD,Australia
Sampha,Australia
Taylour Paige,Australia
Summer Walker,Australia
Ghostface Killah,Australia
Sam Dew,Australia
Tanna Leone,Australia
Beth Gibbons,Australia
The Pogues,Australia
Kirsty MacColl,Australia
Bing Crosby,Australia
Ken Darby Singers,Australia
John Scott Trotter & His Orchestra,Australia
Gwen Stefani,Australia
Blake Shelton,Australia
Shania Twain,Australia
Perry Como,Australia
The Fontane Sisters,Australia
Mitchell Ayres & His Orchestra,Australia
Kellin Quinn,Australia
Oklou,Australia
Tainy,Australia
Selena Gomez,Australia
Brett Eldredge,Australia
Meghan Trainor,Australia
Bring Me The Horizon,Australia
Kehlani,Australia
Alec Benjamin,Australia
Kapulet,Australia
Offset,Australia
